,daily_cost
0,2.603480999884302
1,2.819316211284015
2,2.89005843614616
3,2.8046317574946547
4,2.7713945239928983
5,2.5618553574297414
6,2.2853092250337337
7,2.832929355189419
8,2.939762075398362
9,2.9628679203503134
10,2.9189918385993567
11,2.958266930479457
12,2.5559430150901274
13,2.361009498336982
14,2.8649356274315516
15,2.972819993877581
16,2.940079040661659
17,2.9635140713209274
18,2.871567317106174
19,2.474865050556422
20,2.2762959038720854
21,2.870913230929186
22,2.928776871272636
23,2.965455570036245
24,2.982935504474353
25,2.9700738662726804
26,2.585977027557102
27,2.4104009820845445
28,2.9070627238143385
29,2.8867210334012587
30,2.908773395114433
31,2.928144684436724
32,2.8332298472885116
33,2.520837811952485
34,2.305194242119613
35,2.8185354049791917
36,2.946385939671998
37,2.938956345627314
38,2.949262677248737
39,2.9463437070125806
40,2.550672306619747
41,2.3301355774053882
42,2.959577831944976
43,2.9320296282031584
44,2.86432016683062
45,2.883406656798623
46,2.858685698094439
47,2.431045669384807
48,2.3102913581717477
49,2.8921425423676936
50,2.8807248256666584
51,2.9490553288640924
52,2.9519663964113505
53,2.7953774736304395
54,2.442314549362503
55,2.235891487366051
56,2.6708371740392844
57,2.873179375629584
58,2.8726209945072623
59,2.946367838748987
60,2.76848102941673
61,2.3710007573063936
62,2.306843755118719
63,2.7758661711308936
64,2.850971008739324
65,2.9497304298125915
66,2.8967942298092932
67,2.772553098054853
68,2.415283025202342
69,2.2092180499522938
70,2.6683896167035934
71,2.726091584403998
72,2.7158133766280885
73,2.6788990487021622
74,2.702069174575214
75,2.448326890948524
76,2.4083450573412715
77,2.764473909486107
78,2.757639342815248
79,2.8181139554143106
80,2.747680680022303
81,2.7593104464750557
82,2.3119781823811545
83,2.0525695327238798
84,2.661033564259448
85,2.6857860288296393
86,2.716219987385328
87,2.680526714670917
88,2.656155002128369
89,2.223983840842184
90,2.0048926633816837
91,2.5027987513827767
92,2.5167133802833894
93,2.621631279838114
94,2.6768050878007075
95,2.6240556549768814
96,2.2132363188591815
97,2.0557828374827207
98,2.600172765046098
99,2.6150178036544585
100,2.686787638213368
101,2.610591420370047
102,2.13012730787176
103,2.2074468206652624
104,2.009028363606998
105,2.0187595282458535
106,2.6011083757297695
107,2.675906514512766
108,2.6841067411340864
109,2.6815577895994465
110,2.341944684800405
111,2.144806306598836
112,2.660444517411452
113,2.685158766270443
114,2.68164671829514
115,2.6630659584738923
116,2.633579963480148
117,2.118888478316542
118,2.0933657578163345
119,2.1037524142631727
120,2.637334097327146
121,2.6821213372301105
122,2.7236092126345453
123,2.584381753705878
124,2.2344948498407278
125,2.0942122290175558
126,2.562455477460955
127,2.536656037924651
128,2.537311731595937
129,2.5567461543023544
130,2.53443794886799
131,2.2080534752950998
132,2.0142314295822135
133,2.4961884860193484
134,2.6202168181620307
135,2.6408555839830163
136,2.6211841847597803
137,2.5483179792405037
138,2.193923037006738
139,2.007877984969445
140,2.470439025240397
141,2.5795931837186843
142,2.566330791204107
143,2.0709330633006973
144,2.3092124535398457
145,2.1919660993648318
146,2.036716596273017
147,2.524354660196054
148,2.569922072483682
149,2.53572829222045
150,2.5115936455324777
151,2.502559836476667
152,2.1628755005727895
153,1.951960741192619
154,1.9590221406963781
155,2.5560106778286023
156,2.696790884820539
157,2.578805343271425
158,2.5819953278089107
159,2.224356593237851
160,2.0808538250592377
161,2.631028835021693
162,2.640158755706173
163,2.5133222219113143
164,2.18553039008114
165,2.4295351746436906
166,2.2067467401776875
167,2.041681430092215
168,2.5369560080621967
169,2.616331550163384
170,2.5869532879198265
171,2.6457720866699628
172,2.6223402177460264
173,2.2961359123283818
174,2.0963062951417917
175,2.530860178834807
176,2.5511613651985754
177,2.542854187189002
178,2.553592047110523
179,2.6176061215980577
180,2.2712103046612246
181,2.063618248047206
182,2.505955913608326
183,2.605665848135252
184,2.6499474501298703
185,2.666904592643606
186,2.650051196897427
187,2.303974178455439
188,2.09202266141831
189,2.6211948943193963
190,2.6678875327554192
191,2.689190063650445
192,2.6077096048832993
193,2.624660761825343
194,2.2351763774675324
195,2.05739503880026
196,2.5446157123906623
197,2.622089803029316
198,2.639469965843339
199,2.5781923916999943
200,2.530968749970319
201,2.218142789604497
202,1.9923547094244958
203,2.4687797934165516
204,2.6007415619901466
205,2.5488603782596173
206,2.6033352632252558
207,2.475930393654361
208,2.182447822211258
209,2.0257442940963224
210,2.438256225857657
211,2.501407218296535
212,2.506775305293367
213,2.5532776884941883
214,2.509762340527538
215,2.1087777776471444
216,1.8962199833143554
217,2.3930396518692274
218,2.5215678080535744
219,2.5458646510280984
220,2.502213473734241
221,2.456347545438231
222,2.142282714786277
223,1.9191232199827077
224,2.3607074833036337
225,2.416298542298711
226,2.4725613633833246
227,2.5339155994640326
228,2.509219438868853
229,2.1580210713157575
230,1.9691345517957894
231,2.42235471562867
232,2.405189313493566
233,2.42611644705122
234,2.5002155703306967
235,2.444590864760365
236,2.087655125272804
237,1.9327159634603017
238,2.394680629136776
239,2.4820637765918283
240,2.5011467118522255
241,2.4470914373615913
242,2.3874253569597714
243,2.0447244126817816
244,1.900053186680764
245,2.419551142167002
246,2.5230533976348584
247,2.6038308776097554
248,2.483488135630077
249,2.6136786822047995
250,2.185555129216643
251,1.993888200813116
252,2.5879279778152915
253,2.658798035671544
254,2.732896880634901
255,2.7054502643118092
256,2.5676693758797966
257,2.1755229679116357
258,1.968781088431543
259,2.4967841260332397
260,2.548711303074794
261,2.541397986807139
262,2.551894156859957
263,2.5060852364098616
264,2.169800333665365
265,2.00852043916455
266,2.5552521880018473
267,2.6059347836745395
268,2.6194191593224696
269,2.622476543724409
270,2.5840412764232656
271,2.2057893659350776
272,2.005914061449517
273,2.4616382254233935
274,2.2293231910122397
275,2.5998702656145407
276,2.7082086594875103
277,2.6916422978472867
278,2.3661851638838787
279,2.127694099493409
280,2.5673965293544874
281,2.698322588893697
282,2.744587021199109
283,2.6751011085026617
284,2.6225732869819307
285,2.2220642416710596
286,2.029556022647652
287,2.5907966845183057
288,2.7023807961334927
289,2.6626237872660456
290,2.661963207019461
291,2.6645456133804037
292,2.2562216008186984
293,2.1794800002220587
294,2.612522170207401
295,2.6887957185789393
296,2.701574770877564
297,2.6348954338865043
298,2.6373474696796233
299,2.3696145062541287
300,2.271802615176474
301,2.456742198515731
302,2.272745808094985
303,2.454875022966
304,2.5804572140230877
305,2.5781143587146804
306,2.3496761324367132
307,2.149344073552702
308,2.6171198154910367
309,2.704444028492575
310,2.6886303667485687
311,2.6721703509175416
312,2.769417514310087
313,2.469830978818813
314,2.246233861610031
315,2.694277805244496
316,2.731268291452628
317,2.6056139747514764
318,2.7713083253512814
319,2.7360402336997955
320,2.4862889813940106
321,2.294111712720694
322,2.8145030543157694
323,2.8358796647309505
324,2.8113010142779684
325,2.916234008944956
326,2.803147872488818
327,2.44326873931396
328,2.411257179918942
329,3.0046216463753432
330,2.937628595397197
331,2.805456748921181
332,2.823633169967017
333,2.7505016312791355
334,2.47859317715144
335,2.405666982075196
336,2.9692074065830294
337,2.9917510394771227
338,2.9248050148939444
339,3.04951533563634
340,2.9848453382382765
341,2.6782858553703766
342,2.53112399593506
343,2.9679447200497435
344,3.036069296677335
345,3.0558064160733798
346,3.0356215145556575
347,2.8372738344952184
348,2.525252002597666
349,2.4045257487813694
350,2.868816010739969
351,2.841808781374857
352,2.7463820319895462
353,2.7302966853301993
354,2.564204692198442
355,2.306500932206447
356,2.1040708398471395
357,2.0305882565616633
358,2.1374573726540524
359,2.3143688516379757
